Game_Genres,most_popular_games,Total_Playtime
Action,59,461618
Free to Play,30,305304
Indie,36,118318
Adventure,36,79014
Sports,2,76744
Racing,3,76290
Massively Multiplayer,16,47501
RPG,22,42143
Casual,18,40254
Strategy,12,33967
Simulation,13,23293
Early Access,5,3781
Animation & Modeling,2,125
Design & Illustration,2,125
Photo Editing,1,125
Utilities,1,125
Video Production,1,0
